"Name","FMISID","LPNN","WMO","Lat","Lon","Elevation","Groups","Started",,,
"Hämeenlinna Katinen",101150,1322,2754,61,24.5,87,"weather",2001,,,
"Hämeenlinna Lammi Pappila",101154,1403,2767,61.1,25,125,"weather",1963,,,
"Ilmajoki Seinäjoki airport",137188,,,62.7,22.8,87,"weather",2012,,,
"Ilomantsi Mekrijärvi",101651,3919,2939,62.8,31,156,"weather",1999,,,
"Inari Angeli Lintupuoliselkä",102026,9405,2857,68.9,25.7,285,"weather",2008,,,
"Inari Ivalo airport",102033,9601,2807,68.6,27.4,140,"weather",1957,,,
"Inari Kaamanen",102047,9616,2702,69.1,27.3,156,"weather",2008,,,
"Inari Kirakkajärvi",102055,9708,2858,69.6,28.9,106,"weather",2009,,,
"Inari Nellim",102052,9705,2835,68.8,28.3,121,"weather",1951,,,
"Inari Raja-Jooseppi Kontiojärvi",102008,,,68.5,28.3,185,"weather",1960,,,
"Inari Saariselkä tourist centre",102005,8606,2722,68.4,27.4,304,"weather",1976,,,
"Inari Seitalaassa",129963,9617,2888,69,27.8,121,"weather",2011,,,
"Inkoo Bågaskär",100969,302,2984,59.9,24,13,"weather",1954,,,
"Inkoo Jakobramsjö",108020,,,60,24,0,"weather",2023,,,
"Joensuu Linnunlahti",101632,3825,2928,62.6,29.7,79,"weather",2008,,,
"Jomala Jomalaby",100917,11,2741,60.2,20,11,"weather",1971,,,
"Jomala Mariehamn airport",100907,1,2970,60.1,19.9,2,"weather",1950,,,
"Joutsa Savenaho",101367,2501,2771,61.9,26.1,145,"weather",1946,,,
"Juuka Niemelä",101609,3802,2791,63.2,29.2,115,"weather",1914,,,
"Juva Partala",101418,2622,2736,61.9,27.9,110,"weather",1992,,,
"Jyväskylä airport",101339,2401,2935,62.4,25.7,139,"weather",1945,,,
"Jyväskylä airport AWOS",137208,,,62.4,25.7,124,"weather",1999,,,
"Jämsä Halli Lentoasemantie",101338,2324,2946,61.9,24.8,144,"weather",1964,,,
"Jämsä Halli airport",101315,2301,2945,61.9,24.8,144,"weather",1964,,,
"Järvenpää Sorto",103786,,,60.5,25.1,66,"weather",2015,,,
"Kaarina Yltöinen",100934,103,2828,60.4,22.6,6,"weather",1927,,,
"Kajaani Petäisenniska",126736,4620,2883,64.2,27.8,160,"weather",2010,,,
"Kajaani airport",101725,4601,2897,64.3,27.7,132,"weather",1956,,,
"Kalajoki Ulkokalla",101673,4212,2907,64.3,23.4,3,"weather",1876,,,
